id,gate,predecessors,source_row
UX-008,G1,PLT-001,183
UX-009,G1,PLT-001,184
UX-010,G1,PLT-001,185
CMP-001,G2,CUS-003;MSG-002,186
CMP-002,G2,CUS-003;MSG-002,187
CMP-003,G2,CUS-003;MSG-002,188
CMP-004,G2,CUS-003;MSG-002,189
CMP-005,G2,CUS-003;MSG-002,190
CMP-006,G2,CUS-003;MSG-002,191
CMP-007,G2,CUS-003;MSG-002,192
CMP-008,G2,CUS-003;MSG-002,193
COM-001,G2,CUS-001;ACT-002,194
COM-002,G2,CUS-001;ACT-002,195
COM-003,G2,CUS-001;ACT-002,196
COM-004,G2,CUS-001;ACT-002,197
COM-005,G2,CUS-001;ACT-002,198
COM-006,G2,CUS-001;ACT-002,199
COM-007,G2,CUS-001;ACT-002,200
COM-008,G2,CUS-001;ACT-002,201
VOC-001,G3,MSG-007;WHA-004,202
VOC-002,G3,MSG-007;WHA-004,203
VOC-003,G3,MSG-007;WHA-004,204
VOC-004,G3,MSG-007;WHA-004,205
VOC-005,G3,MSG-007;WHA-004,206
VOC-006,G3,MSG-007;WHA-004,207
SUP-001,G1,PLT-003,208
SUP-002,G1,PLT-003,209
SUP-003,G1,PLT-003,210
SUP-004,G1,PLT-003;AIG-001,211
SUP-005,G1,PLT-003,212
SUP-006,G1,PLT-003,213
SUP-007,G1,PLT-003,214
SUP-008,G2,PLT-003,215
BIL-001,G1,DAT-001;EVT-002,216
BIL-002,G1,DAT-001;EVT-002,217
BIL-003,G1,DAT-001;EVT-002,218
BIL-004,G1,DAT-001;EVT-002,219
BIL-005,G1,DAT-001;EVT-002;WHA-002,220
BIL-006,G2,DAT-001;EVT-002,221
BIL-007,G1,DAT-001;EVT-002,222
BIL-008,G1,DAT-001;EVT-002,223
SEC-001,G0,GOV-004,224
SEC-002,G0,GOV-004,225
SEC-003,G0,GOV-004,226
SEC-004,G3,GOV-004,227
SEC-005,G0,GOV-004,228
SEC-006,G0,GOV-004,229
SEC-007,G0,GOV-004,230
SEC-008,G0,GOV-004,231
SEC-009,G0,GOV-004,232
SEC-010,G0,GOV-004,233
SEC-011,G0,GOV-004,234
SEC-012,G0,GOV-004,235
OPS-001,G0,GOV-007,236
OPS-002,G0,GOV-007,237
OPS-003,G0,GOV-007,238
OPS-004,G0,GOV-007,239
OPS-005,G0,GOV-007,240
OPS-006,G0,GOV-007,241
OPS-007,G0,GOV-007,242
OPS-008,G2,GOV-007,243
OPS-009,G2,GOV-007,244
OPS-010,G1,GOV-007,245
OPS-011,G0,GOV-007,246
OPS-012,G0,GOV-007,247
QAT-001,G1,EVT-003;MSG-001,248
QAT-002,G1,EVT-003;MSG-001,249
QAT-003,G1,EVT-003;MSG-001,250
QAT-004,G1,EVT-003;MSG-001,251
QAT-005,G1,EVT-003;MSG-001,252
QAT-006,G1,EVT-003;MSG-001;WHA-003;WHA-007,253
QAT-007,G1,EVT-003;MSG-001,254
QAT-008,G1,EVT-003;MSG-001,255
QAT-009,G3,EVT-003;MSG-001;VOC-001,256
QAT-010,G2,EVT-003;MSG-001;OPS-008,257
QAT-011,G1,EVT-003;MSG-001,258
QAT-012,G1,EVT-003;MSG-001,259
ECO-001,G3,PLT-009;BIL-003,260
ECO-002,G3,PLT-009;BIL-003,261
ECO-003,G3,PLT-009;BIL-003,262
ECO-004,G3,PLT-009;BIL-003,263
ECO-005,G3,PLT-009;BIL-003,264
ECO-006,G3,PLT-009;BIL-003,265
ECO-007,G3,PLT-009;BIL-003,266
ECO-008,G3,PLT-009;BIL-003,267
