slice_id,capability,work_packages,baseline_gates,baseline_predecessors,flows,upstream_source,greeto_owner_or_target,adaptation_required,acceptance,status,source_commit,source_url
M11,Text message request builder,MSG-001 MSG-002 ACT-002,MSG-001:G1; MSG-002:G1; ACT-002:G1,"MSG-001 <- DAT-002,EVT-009,WHA-003; MSG-002 <- DAT-002,EVT-009,WHA-003; ACT-002 <- PLT-003,DAT-002",F05 F10,app/api/send/route.ts; app/api/beUtils.ts:send; app/components/SendMessage.tsx,Approved public API -> Action Gateway -> Meta dispatch adapter,"Reuse provider body, not direct Next.js POST bypass","Stable idempotency, current consent/rates, send uncertainty and receipt evidence",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M12,Template inventory and sending,WHA-007 WHA-008 CMP-002,WHA-007:G1; WHA-008:G1; CMP-002:G2,"WHA-007 <- PLT-008,EVT-003; WHA-008 <- PLT-008,EVT-003; CMP-002 <- CUS-003,MSG-002",F05 F06 F14,"app/api/paid_messaging/templates/route.ts; app/api/paid_messaging/send/route.ts; app/api/beUtils.ts:getMessageTemplates,sendTemplateMessage; app/components/PaidMessagingDashboard.tsx",Existing templates/campaign UI and provider adapters,Current supported template states; callback correlation is not idempotency,"Template variable/schema checks, pagination, revoked permission and late statuses",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M13,Billing and template readiness explanation,WHA-006 BIL-005,WHA-006:G1; BIL-005:G1,"WHA-006 <- PLT-008,EVT-003; BIL-005 <- DAT-001,EVT-002,WHA-002",F02 F06 F16,"app/api/beUtils.ts:checkWabaPaymentMethod,getTemplateGatingData",Capability/financial evidence owners; channel readiness UI,"Unknown is not healthy; sample heuristics are fixtures, not permission or invoice truth","Malformed health, absent WABA entity, stale payment and unsupported status",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M14,AckBot capability as governed automation,WFL-007 MSG-012,WFL-007:G1; MSG-012:G1,"WFL-007 <- EVT-002,PLT-006; MSG-012 <- DAT-002,EVT-009,WHA-003",F04 F05 F10,"app/components/AckBotStatus.tsx; app/api/phones/[id]/route.ts; app/api/beUtils.ts:getAckBotStatus,getAckBotMessage,setAckBotStatus; app/api/webhooks/route.ts",Existing post-ingress automation and action dispatch,"No auto-reply on ingress hot path; opt-out, echo and duplicate controls",Callback ACK not delayed by bot; duplicate/echo/opt-out cancellation tests,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M15,"Shared Pages, Ads and Dataset inventories",INS-005 INS-007 INS-008,INS-005:G2; INS-007:G2; INS-008:G2,INS-005 <- WHA-002; INS-007 <- WHA-002; INS-008 <- WHA-002,F02 F13,"app/my-pages/; app/my-ad-accounts/; app/my-datasets/; app/api/beUtils.ts:getPages,getAdAccounts,getDatasets",Existing Meta asset and integration surfaces,Read-only discovery first; no implied Messenger or campaign/CAPI implementation,Granted object checks and privacy; specific actions need separate tests,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M16,Catalog and Instagram inventories,INS-001 WHA-011 COM-002,INS-001:G2; WHA-011:G2; COM-002:G2,"INS-001 <- WHA-002; WHA-011 <- PLT-008,EVT-003; COM-002 <- CUS-001,ACT-002",F02 F13 F14,"app/my-catalogs/; app/my-instagram-accounts/; app/api/beUtils.ts:getCatalogs,getInstagramAccounts",Existing channel/integration/catalog surfaces,Asset listing is not commerce write or Instagram messaging approval,"Namespaced IDs, missing scopes, safe fallbacks and no token leakage",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M17,Calling settings and permission lifecycle,VOC-001 VOC-002,VOC-001:G3; VOC-002:G3,"VOC-001 <- MSG-007,WHA-004; VOC-002 <- MSG-007,WHA-004",F15,app/api/calls/settings/; app/api/calls/permissions/; app/api/calls/request-permission/; app/components/CallingStatus.tsx; app/components/CallPermissionRibbon.tsx,Voice capability service and existing voice UI,Keep G3 and account eligibility; no automatic signup toggle activation,"Permission expiry/revocation, limits and messaging/calling readiness separation",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M18,"Calling signaling, client and presentation",VOC-002 VOC-003 VOC-004,VOC-002:G3; VOC-003:G3; VOC-004:G3,"VOC-002 <- MSG-007,WHA-004; VOC-003 <- MSG-007,WHA-004; VOC-004 <- MSG-007,WHA-004",F15,app/api/calls/accept/; app/api/calls/connect/; app/api/calls/pre-accept/; app/api/calls/reject/; app/api/calls/terminate/; app/components/CallingClient.ts; app/components/CallBanner.tsx; app/components/IncomingCallBanner.tsx; app/utils/calling.ts,Dedicated voice owner and Greeto shared UI,"Source behavior as interoperability reference, not media/recording certification","Call ordering, bounded SDP, teardown, permission changes and qualified media path",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M19,"Identity, SQL and host infrastructure comparison",PLT-002 PLT-003 DAT-001 OPS-001,PLT-002:G0; PLT-003:G0; DAT-001:G0; OPS-001:G0,PLT-002 <- GOV-001; PLT-003 <- GOV-001; DAT-001 <- PLT-001; OPS-001 <- GOV-007,F01 F02,lib/auth0.ts; middleware.ts; app/api/authWrapper.ts; app/privateConfig.ts; README.md database schema,"Existing OIDC/RBAC/OPA, Aurora/DynamoDB and AWS owners",Do not substitute Auth0/Neon/Vercel or token columns for approved ownership,Actual scope/security/migration proofs; any infrastructure change needs approval,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M20,"Error reporting, public pages and common UI",SUP-001 SEC-003 UX-003,SUP-001:G1; SEC-003:G0; UX-003:G1,SUP-001 <- PLT-003; SEC-003 <- GOV-004; UX-003 <- PLT-001,F17,app/errorformat.ts; app/feUtils.ts; app/privacy/; app/components/PrivacyPolicyModal.tsx; app/components/ErrorBoundary.tsx; app/components/ui/; app/layout.tsx; app/globals.css,Existing shared design/help/security surfaces,"Retain useful interactions; no raw errors, placeholder notices or theme replacement","Safe error classes, accessible dialogs, sanitized content and approved legal copy",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M21,Upstream fixtures and integration qualification,QAT-001 QAT-002 QAT-004 DEV-006,QAT-001:G1; QAT-002:G1; QAT-004:G1; DEV-006:G1,"QAT-001 <- EVT-003,MSG-001; QAT-002 <- EVT-003,MSG-001; QAT-004 <- EVT-003,MSG-001; DEV-006 <- PLT-003,EVT-002",F02 F03 F05 F15,tests/unit/beUtils.test.ts; tests/unit/PaidMessagingDashboard.test.tsx; tests/unit/MessageBubble.test.tsx; tests/unit/CallPermissionRibbon.test.tsx; tests/unit/callingUtils.test.ts; tests/e2e/paid-messaging.spec.ts,Existing unit/contract/integration/browser gates,Preserve mock provenance; add Greeto invariants rather than replace tests,Source-derived != provider-captured; cross-scope/crash/unknown negatives and account tests,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M22,Provider review and operational qualification,QAT-006 QAT-007 GOV-003 OPS-007,QAT-006:G1; QAT-007:G1; GOV-003:G0; OPS-007:G0,"QAT-006 <- EVT-003,MSG-001,WHA-003,WHA-007; QAT-007 <- EVT-003,MSG-001; GOV-003 <- none; OPS-007 <- GOV-007",F02 F17 F18,README.md production checklist; .env.example; package.json; playwright.config.ts; vitest.config.ts,Existing approval/evidence and recovery owners,"No provider approval, backup or Secure Boot claims from sample deploy button","Approved test accounts, configuration/scopes, review demo, backup/restore and release evidence",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
